cell,slice,timestamp,pdcp_rate,utilization,volume,target_rate,prb
2,1, 2022/03/14 01:56:23,0,0.091446247,156.8815893,15345000,10
2,2, 2022/03/14 01:56:23,41346.10938,0.125292492,63.680832,5115000,74
2,1, 2022/03/14 01:56:24,45785.00391,0.058608065,156.8815893,15345000,206
2,2, 2022/03/14 01:56:24,15007.4502,0.098058805,63.680832,5115000,67
2,1, 2022/03/14 01:56:25,41997.59375,0.196701183,156.8815893,15345000,233
2,2, 2022/03/14 01:56:25,20184.43945,0.1250315,63.680832,5115000,40
2,1, 2022/03/14 01:56:26,0,0.057647839,156.8815893,15345000,9
2,2, 2022/03/14 01:56:26,34901.04688,0.117158871,63.680832,5115000,264
2,1, 2022/03/14 01:56:27,383588.3438,0.058608055,596.43072,15345000,217
2,2, 2022/03/14 01:56:27,362552.0625,0.173949718,282.7789653,5115000,56
2,1, 2022/03/14 01:56:28,350173.8438,0.124251213,596.43072,15345000,173
2,2, 2022/03/14 01:56:28,363649.5,0.070201225,282.7789653,5115000,41
2,1, 2022/03/14 01:56:29,383588.3438,0.332010422,596.43072,15345000,117
2,2, 2022/03/14 01:56:29,368904.0625,0.117201805,282.7789653,5115000,30
2,1, 2022/03/14 01:56:30,0,0.229402313,596.43072,15345000,10
2,2, 2022/03/14 01:56:30,364320.4063,0.058608065,282.7789653,5115000,24
2,1, 2022/03/14 01:56:31,368511.4063,0.058608065,596.43072,15345000,88
2,2, 2022/03/14 01:56:31,364320.4063,0.058608065,282.7789653,5115000,20
2,1, 2022/03/14 01:56:32,383588.3438,0.272540131,596.43072,15345000,69
2,2, 2022/03/14 01:56:32,364320.4063,0.058608065,282.7789653,5115000,17
2,1, 2022/03/14 01:56:33,364289.375,0.219551258,596.43072,15345000,59
2,2, 2022/03/14 01:56:33,363649.5,0.058608065,282.7789653,5115000,16
2,1, 2022/03/14 01:56:34,423117.0625,0.175824165,640.653824,15345000,50
2,2, 2022/03/14 01:56:34,243911.7969,0.058608055,304.778048,5115000,15
2,1, 2022/03/14 01:56:35,424745.7813,0.175824165,640.653824,15345000,43
2,2, 2022/03/14 01:56:35,243911.7813,0.058608055,304.778048,5115000,15
2,1, 2022/03/14 01:56:36,424144.7188,0.117216129,640.653824,15345000,38
2,2, 2022/03/14 01:56:36,243911.7813,0.058608055,304.778048,5115000,15
2,1, 2022/03/14 01:56:37,435521.4688,0.117216129,640.653824,15345000,34
